size,density function
$\mu m$,$1/\mu m^4$
0.0,9.50151983593849e-12
4.930251089315561,9.192479596594993e-12
9.92608352172374,8.888718917462393e-12
14.989564327626795,8.59021180262515e-12
20.122892501155548,8.297015377956298e-12
25.328480453810016,8.009168232838411e-12
30.60896123579778,7.726698526373702e-12
35.967215884799316,7.449635145674445e-12
41.40640631402471,7.177998053076017e-12
46.9300149068913,6.911808184985222e-12
52.541898821717496,6.651083522429485e-12
58.246361229871354,6.395846571129942e-12
64.0482605498039,6.146131336518985e-12
69.95320768378679,5.902012771963966e-12
75.96794843397288,5.663650558716603e-12
82.10113390476045,5.431385778955226e-12
88.36489788232007,5.205909460783172e-12
94.77801118333832,4.988540069097425e-12
101.3719959384864,4.78163489675081e-12
108.20256630774611,4.589106136822933e-12
115.37029435569889,4.4168456666869415e-12
123.05686555259899,4.272504077390184e-12
131.5872192220304,4.163331882267759e-12
141.53320328796133,4.089784144141693e-12
153.87594299716795,4.032279123604132e-12
170.21630657834294,3.932437448257555e-12
192.89741378820236,3.685885389282756e-12
224.6420152330819,3.190171719249581e-12
267.2959890667487,2.4626726626060237e-12
320.2922183736498,1.6862915717976128e-12
380.51574174449604,1.0551357001450949e-12
443.90535938296216,6.310537662390618e-13
507.09602609015155,3.749262163733168e-13
567.9563058656657,2.2677711314772616e-13
625.3656060840915,1.413461801613873e-13
678.8389691069398,9.109044237677118e-14
728.2460309650685,6.057755417759573e-14
773.6429383442761,4.137940030680754e-14
815.1802372927338,2.887720620577108e-14
853.0539913196559,2.048779671691477e-14
887.4800144548259,1.472017560481681e-14
918.680204710435,1.068105369712446e-14
946.8752004297925,7.813648069590213e-15
972.280379943579,5.757735045588455e-15
995.1036609501405,4.272701983027984e-15
1015.5442951852749,3.1937733540624317e-15
1033.7922334042785,2.4059601446921625e-15
1050.0278301145079,1.827976118151983e-15
1064.4217576298743,1.4019068731847986e-15
1077.1350547051707,1.086211249305885e-15
1088.3192644229061,8.509524539859901e-16
1098.1166313800943,6.744889956146303e-16
1106.6603378915192,5.412102587381845e-16
1114.0747673375704,4.397522970433619e-16
1120.4757854825962,3.618985825351009e-16
1125.971034111626,3.0155492175612763e-16
1130.6602315705427,2.5432869369238167e-16
1134.6354766915201,2.169653293838804e-16
1137.9815557653017,1.8705727966593695e-16
1140.776249924492,1.6281322967021065e-16
1143.0906423598915,1.4288841218511614e-16
1144.9894247484542,1.2626906857876487e-16
1146.5312025698936,1.1218243525409258e-16
1147.7687990247175,1.0004946180922288e-16
1148.7495574014138,8.94448099059116e-17
1149.51564269529,8.001955511927564e-17
1150.1043426655979,7.148221223862189e-17
1150.5483664413944,6.36919091350005e-17
1150.876143205713,5.647199805688867e-17
1151.1121209899195,4.972548949730033e-17
1151.2770641555462,4.3378496203136086e-17
1151.3883514447427,3.7378335438093325e-17
1151.4602740095074,3.170032581758291e-17
1151.5043339781057,2.6328685333351317e-17
1151.529543827913,2.126600023204703e-17
1151.5427266924996,1.6527506709252515e-17
1151.5488180770722,1.2144646662436032e-17
1151.5511694304244,8.163911078366505e-18
1151.5518540060532,4.665206925247021e-18
1151.5519758180785,1.7924366180579376e-18
1151.5519831727943,0
1241.5519831727943,0.0
1242.5519831727943,6.730167004065556e-15
1243.5519831727943,1.2751895376124212e-14
1244.5519831727943,1.8065185116175966e-14
1245.5519831727943,2.2670036224220822e-14
1246.5519831727943,2.6566448700258777e-14
1247.5519831727943,2.9754422544289833e-14
1248.5519831727943,3.2233957756313987e-14
1249.5519831727943,3.4005054336331244e-14
1250.5519831727943,3.50677122843416e-14
1251.5519831727943,3.5421931600345055e-14
1252.5519831727943,3.506771228434161e-14
1253.5519831727943,3.400505433633126e-14
1254.5519831727943,3.2233957756313987e-14
1255.5519831727943,2.9754422544289833e-14
1256.5519831727943,2.6566448700258777e-14
1257.5519831727943,2.2670036224220822e-14
1258.5519831727943,1.8065185116175966e-14
1259.5519831727943,1.2751895376124212e-14
1260.5519831727943,6.730167004065556e-15
1261.5519831727943,0.0
