time,temperature,supersaturation,growth rate,nucleation rate,transform time,concentration,"$\mu_{s,0}$","$\mu_{s,1}$","$\mu_{s,2}$","$\mu_{s,3}$","$\mu_{s,4}$","$\mu_{n,0}$","$\mu_{n,1}$","$\mu_{n,2}$","$\mu_{n,3}$","$\mu_{n,4}$",PDF for size=0
min,$^oC$,-,$\mu m/min$,$1/(\mu m^3*min)$,\mu m,g/L,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^4$
0.0,32.0,0.0,0.0,0.0,0,492.9904,4.710811560361758e-13,4.7108115603617594e-11,4.720213145762058e-09,4.73922160591736e-07,4.7672612146351655e-05,0.0,0.0,0.0,0.0,0.0,0
1.0,31.9999921875,2.6772532631615564e-07,1.4709431671731174e-05,2.636572395923214e-23,7.354715835865587e-06,492.9903999984909,4.710811560361758e-13,4.710813939758072e-11,4.720217904557618e-09,4.739228758361118e-07,4.7672707896368816e-05,1.3917508114542044e-22,8.58326727936009e-27,7.450870240179812e-38,3.984829060756366e-51,0.0,1.7924366180579376e-18
2.0,31.9999375,2.141798322167296e-06,0.0002289146188190347,1.0679340650048426e-21,0.00012916674108124854,492.9903999844223,4.710811560361758e-13,4.710836120373932e-11,4.720262266128651e-09,4.7392954340272917e-07,4.767360049209264e-05,3.152809844034529e-21,2.2370992663326954e-24,2.3469774925222855e-28,4.1640487293710405e-32,7.229365148127652e-43,4.665206925247021e-18
3.0,31.9997890625,7.228570319081097e-06,0.001140236638904087,9.308790528308463e-21,0.0008137423699428094,492.99039993517044,4.710811560361758e-13,4.7109137674368267e-11,4.720417565190634e-09,4.7395288549162916e-07,4.7676725402389716e-05,1.9707577380192753e-20,5.253166793774957e-23,8.299853823789515e-26,1.6213231992305093e-28,3.415255871440914e-32,8.163911078366505e-18
4.0,31.9995,1.7134354078492013e-05,0.0035624700652776915,4.3264940188302987e-20,0.003165095722033698,492.9903997703594,4.710811560361758e-13,4.711173559246204e-11,4.720937203532431e-09,4.740309949957804e-07,4.768718303532206e-05,1.0096998720148788e-19,8.372665043759704e-22,6.112907087441032e-24,4.93803436730004e-26,1.6127511649948868e-28,1.2144646662436032e-17
5.0,31.9990234375,3.346597072200835e-05,0.008620299080109858,1.4247205088227895e-19,0.009256480294727473,492.99039957678923,4.710811560361758e-13,4.711478658054263e-11,4.7215474914365165e-09,4.741227343979969e-07,4.769946601692556e-05,2.042329310197577e-19,2.4025639639386e-21,3.998500709970236e-23,9.160663442437428e-25,1.3167798079340396e-26,1.6527506709252515e-17
6.0,31.9983125,5.782984922429869e-05,0.017745430093026867,3.7737432047608367e-19,0.022439344881295835,492.99039910192243,4.710811560361758e-13,4.7122266886191074e-11,4.723044213429366e-09,4.743477897440284e-07,4.772960744141555e-05,5.722298022831865e-19,1.7566502900973136e-20,6.231922301663264e-22,1.8330891870802863e-23,2.8826184325883416e-25,2.126600023204703e-17
7.0,31.9973203125,9.18332719149136e-05,0.032674269521602274,8.602705607313778e-19,0.047649194688610404,492.9903982874215,4.710811560361758e-13,4.713509441822087e-11,4.725611137573879e-09,4.7473380916379983e-07,4.7781312294555174e-05,1.2749836787127522e-18,5.0969411603979265e-20,1.954200989811449e-21,5.833587846514016e-23,9.21439775050141e-25,2.6328685333351317e-17
8.0,31.996,0.00013708382613261468,0.05544566767501118,1.7576457304712793e-18,0.09170916328691714,492.9903969004601,4.710811560361758e-13,4.715691395572667e-11,4.729979825470547e-09,4.7539113684934134e-07,4.786940462103728e-05,2.7247410108501318e-18,1.9180968354082537e-19,1.9312514593038463e-20,2.02166967931024e-21,1.4524003281499944e-22,3.170032581758291e-17
9.0,31.9943046875,0.00019518994078299176,0.08839946185440359,3.3042247377408326e-18,0.16363172805162451,492.99039468194945,4.710811560361758e-13,4.7191780507378513e-11,4.736964268137558e-09,4.764425636945825e-07,4.801038241706926e-05,5.383063443954168e-18,5.439637835250893e-19,7.233350331754665e-20,9.022739022461077e-21,8.718260888016234e-22,3.7378335438093325e-17
10.0,31.9921875,0.00026776086292043544,0.13417511653860767,5.820314783325335e-18,0.27491901724813017,492.9903912007916,4.710811560361758e-13,4.724634485236933e-11,4.7479092121810896e-09,4.78092401557558e-07,4.8231891660122046e-05,1.03200915184529e-17,1.7759246045134287e-18,4.763070289334344e-19,1.3352824414956494e-19,3.287421059973234e-20,4.3378496203136086e-17
11.0,31.9896015625,0.0003564075500135976,0.1957112147145338,9.731835951791439e-18,0.4398621828747009,492.9903861414941,4.710811560361758e-13,4.7325464572568673e-11,4.7637978140899e-09,4.804901728308216e-07,4.855418449519493e-05,1.8335258550133957e-17,4.4396454406164885e-18,1.5440064744997372e-18,5.348487695060659e-19,1.732416866259305e-19,4.972548949730033e-17
12.0,31.9865,0.00046274218243207724,0.27624435369840455,1.560007060528277e-17,0.6758399670811701,492.99037889370743,4.710811560361758e-13,4.743831217635308e-11,4.786509439190245e-09,4.839251428394132e-07,4.9016902244729984e-05,3.135222994771596e-17,1.1060480415478736e-17,5.788608835108049e-18,3.3131159412349994e-18,1.842558904199393e-18,5.647199805688867e-17
13.0,31.9828359375,0.0005883790831612426,0.37930917493916205,2.4158925504297117e-17,1.0036167313999536,492.99036881728944,4.710811560361758e-13,4.7594291192714435e-11,4.817993203506648e-09,4.887006963637264e-07,4.966207620968132e-05,5.1614672920561555e-17,2.6048416200030048e-17,1.9946324352361484e-17,1.7692039403328467e-17,1.6450202862759763e-17,6.36919091350005e-17
14.0,31.9785625,0.0007349351297380434,0.5087383766539456,3.63657446139093e-17,1.4476405071965073,492.99035523891393,4.710811560361758e-13,4.7803153156462295e-11,4.860285140188984e-09,4.951359453830963e-07,5.053420785417578e-05,8.163427325189412e-17,5.5144078002755304e-17,5.3327707874213786e-17,5.624637187821603e-17,5.784768646908488e-17,7.148221223862189e-17
15.0,31.9736328125,0.000904028733578811,0.6686615639618821,5.3506000873588885e-17,2.036340477504421,492.99033672482045,4.710811560361758e-13,4.808429726667283e-11,4.917580651381504e-09,5.039103970388812e-07,5.173102025674884e-05,1.278003347397836e-16,1.2362459969438482e-16,1.7724164065617302e-16,2.9205010000291885e-16,4.99370924909049e-16,8.001955511927564e-17
16.0,31.968,0.0010972838627977407,0.8635090237901789,7.723640048495185e-17,2.8024257713804515,492.99031281972924,4.710811560361758e-13,4.8443083194882685e-11,4.991127850515094e-09,5.152398233152517e-07,5.328540824786951e-05,1.9263074489329882e-16,2.493729105930631e-16,4.833449683044235e-16,1.1147976676354566e-15,2.775385502001604e-15,8.94448099059116e-17
